支付宝交易记录明细查询
账号:[faker***@163.com]
起始日期:[2026-05-01 00:00:00] 终止日期:[2026-08-25 23:59:59]
---------------------------------交易记录明细列表------------------------------------
交易号,商家订单号,交易创建时间,付款时间,最近修改时间,交易来源地,类型,交易对方,商品名称,金额（元）,收/支,交易状态,服务费（元）,成功退款（元）,备注,资金状态
2026082334268830709517,20260823211446792181,2026-08-23 21:14:46,2026-08-23 21:18:39,2026-08-23 21:18:39,手机支付宝,即时到账交易,喜茶,多肉葡萄,25.89,支出,交易成功,0.00,0.00,,已支出
2026082245305512787043,20260822222321556563,2026-08-22 22:23:21,2026-08-22 22:27:10,2026-08-22 22:27:10,手机支付宝,即时到账交易,滴滴出行,快车-大学城到广州南站,59.26,支出,交易成功,0.00,0.00,,已支出
2026082121394438009998,20260821000807043370,2026-08-21 00:08:07,2026-08-21 00:09:16,2026-08-21 00:09:16,电脑网站,即时到账交易,广州XX科技有限公司,Java开发实习工资(7月),2896.44,收入,交易成功,0.00,0.00,,已收入
2026081850206897709821,20260818135605554829,2026-08-18 13:56:05,2026-08-18 14:00:31,2026-08-18 14:00:31,手机支付宝,担保交易,淘宝,机械键盘红轴,266.65,支出,交易成功,0.00,0.00,,已支出
2026081297915445975774,20260812224606397225,2026-08-12 22:46:06,2026-08-12 22:46:42,2026-08-12 22:46:42,手机支付宝,即时到账交易,饿了么,夜宵烧烤外卖,38.41,支出,交易成功,0.00,0.00,,已支出
2026080934413238618230,20260809221732195503,2026-08-09 22:17:32,2026-08-09 22:19:57,2026-08-09 22:19:57,手机支付宝,即时到账交易,瑞幸咖啡,生椰拿铁,13.76,支出,交易成功,0.00,0.00,,已支出
2026080669020475735660,20260806135827973448,2026-08-06 13:58:27,2026-08-06 14:01:27,2026-08-06 14:01:27,手机支付宝,即时到账交易,茶百道,杨枝甘露大杯,18.21,支出,交易成功,0.00,0.00,,已支出
2026073183201828936290,20260731035103987022,2026-07-31 03:51:03,2026-07-31 03:53:23,2026-07-31 03:53:23,手机支付宝,即时到账交易,12306,广州南-深圳北高铁二等座,74.50,支出,交易成功,0.00,0.00,,已支出
2026072271844330728105,20260722151202733721,2026-07-22 15:12:02,2026-07-22 15:14:22,2026-07-22 15:14:22,手机支付宝,即时到账交易,美团外卖,午餐外卖订单,35.98,支出,交易成功,0.00,0.00,,已支出
2026072073823559484722,20260720034423570254,2026-07-20 03:44:23,2026-07-20 03:45:28,2026-07-20 03:45:28,手机支付宝,即时到账交易,支付宝红包,扫码到店红包,1.29,收入,交易成功,0.00,0.00,,已收入
2026070595709528763733,20260705085818415487,2026-07-05 08:58:18,2026-07-05 08:58:40,2026-07-05 08:58:40,手机支付宝,即时到账交易,兰州拉面,牛肉拉面加蛋,17.78,支出,交易成功,0.00,0.00,,已支出
2026070242780945435066,20260702175954413197,2026-07-02 17:59:54,2026-07-02 18:01:07,2026-07-02 18:01:07,手机支付宝,即时到账交易,闲鱼,二手教材出售,35.31,收入,交易成功,0.00,0.00,,已收入
2026070288136189793917,20260702164517931668,2026-07-02 16:45:17,2026-07-02 16:49:57,2026-07-02 16:49:57,手机支付宝,即时到账交易,肯德基KFC,疯狂星期四葡挞,37.70,支出,交易成功,0.00,0.00,,已支出
2026062969288685095004,20260629163520728316,2026-06-29 16:35:20,2026-06-29 16:36:55,2026-06-29 16:36:55,手机支付宝,担保交易,天猫超市,零食日用品一箱,83.35,支出,交易成功,0.00,0.00,,已支出
2026062930269584700292,20260629132904876355,2026-06-29 13:29:04,2026-06-29 13:32:49,2026-06-29 13:32:49,手机支付宝,即时到账交易,理发店,剪发,48.92,支出,交易成功,0.00,0.00,,已支出
2026062963511964382206,20260629100908199910,2026-06-29 10:09:08,2026-06-29 10:10:37,2026-06-29 10:10:37,手机支付宝,即时到账交易,南方电网,宿舍电费缴纳,102.45,支出,交易成功,0.00,0.00,,已支出
2026062569290801308154,20260625095352498592,2026-06-25 09:53:52,2026-06-25 09:55:04,2026-06-25 09:55:04,手机支付宝,即时到账交易,理发店,剪发,26.73,支出,交易成功,0.00,0.00,,已支出
2026062263185990585386,20260622000238808245,2026-06-22 00:02:38,2026-06-22 00:06:09,2026-06-22 00:06:09,手机支付宝,担保交易,京东,USB-C数据线两根,29.53,支出,交易成功,0.00,0.00,,已支出
2026062180825989419473,20260621070346199464,2026-06-21 07:03:46,2026-06-21 07:05:02,2026-06-21 07:05:02,手机支付宝,即时到账交易,校园一卡通,校园卡充值,124.10,支出,交易成功,0.00,0.00,,已支出
2026062026129566724199,20260620152938386095,2026-06-20 15:29:38,2026-06-20 15:33:21,2026-06-20 15:33:21,手机支付宝,即时到账交易,蜜雪冰城,柠檬水+珍珠奶茶,9.83,支出,交易成功,0.00,0.00,,已支出
